tick,c_ranges,c_write,c_write_b,c_read,c_read_b,s_ranges,s_write,s_write_b,s_read,s_read_b,c_lease_moves,c_replica_moves,c_replica_b_moves
2022-03-21 11:10:00 +0000 UTC,20002,2880000,552815724,18240000,3502245945,935569,179582202,17775406,3413036599,20965,3233,13625999
2022-03-21 11:10:10 +0000 UTC,20002,2928000,562020450,18544000,3560617450,950838,182510463,18064885,3468618885,20996,3331,14507478
2022-03-21 11:10:20 +0000 UTC,20002,2976000,571260207,18848000,3618965603,966039,185434969,18353973,3524107303,20997,3366,14842109
2022-03-21 11:10:30 +0000 UTC,20002,3024000,580458627,19152000,3677296892,981310,188362836,18642891,3579544372,20998,3404,15223821
2022-03-21 11:10:40 +0000 UTC,20002,3072000,589666437,19456000,3735648554,996495,191274844,18931775,3634996941,21002,3444,15620196
2022-03-21 11:10:50 +0000 UTC,20002,3120000,598892922,19760000,3794020806,1011709,194200872,19220489,3690433270,21006,3484,16022401
2022-03-21 11:11:00 +0000 UTC,20002,3168000,608107671,20064000,3852406609,1026905,197117935,19508991,3745842268,21027,3541,16600366
2022-03-21 11:11:10 +0000 UTC,20002,3216000,617312418,20368000,3910770740,1042051,200020833,19797314,3801193979,21074,3645,17672676
2022-03-21 11:11:20 +0000 UTC,20002,3264000,626505300,20672000,3969153457,1057189,202920487,20085234,3856490018,21076,3679,18026059
2022-03-21 11:11:30 +0000 UTC,20002,3312000,635723922,20976000,4027560065,1072396,205840575,20373152,3911807095,21088,3726,18521062
2022-03-21 11:11:40 +0000 UTC,20002,3360000,644952399,21280000,4085921064,1087532,208751410,20660555,3966983242,21093,3753,18812849
2022-03-21 11:11:50 +0000 UTC,20002,3408000,654148152,21584000,4144271389,1102664,211651672,20947971,4022157364,21102,3783,19133712
2022-03-21 11:12:00 +0000 UTC,20002,3456000,663329484,21888000,4202626391,1117796,214545055,21235020,4077263482,21171,3901,20435284
2022-03-21 11:12:10 +0000 UTC,20002,3504000,672521622,22192000,4260970638,1132850,217430138,21521524,4132247516,21186,3944,20901107
2022-03-21 11:12:20 +0000 UTC,20003,3552000,681742806,22496000,4319310508,1147893,220318677,21807293,4187080386,21204,3991,21406983
2022-03-21 11:12:30 +0000 UTC,20003,3600000,690959385,22800000,4377663686,1162948,223209530,22093095,4241937486,21206,4015,21696084
2022-03-21 11:12:40 +0000 UTC,20003,3648000,700196679,23104000,4436024971,1177991,226102931,22379149,4296862386,21268,4139,23170998
2022-03-21 11:12:50 +0000 UTC,20003,3696000,709391265,23408000,4494427983,1192964,228971091,22663688,4351523054,21271,4166,23488811
2022-03-21 11:13:00 +0000 UTC,20003,3744000,718605483,23712000,4552814172,1207947,231847206,22948535,4406235079,21275,4189,23765865
2022-03-21 11:13:10 +0000 UTC,20003,3792000,727828623,24016000,4611162406,1222931,234724716,23233309,4460897441,21341,4310,25233611
2022-03-21 11:13:20 +0000 UTC,20003,3840000,737020131,24320000,4669526943,1237818,237575299,23516860,4515328143,21371,4385,26123664
2022-03-21 11:13:30 +0000 UTC,20003,3888000,746244090,24624000,4727926132,1252752,240445900,23800181,4569760511,21373,4430,26676042
